Industry,Company,Domain
Retail,Quince,onequince.com
Retail,Misfits Market,misfitsmarket.com
Retail,Caraway,carawayhome.com
Retail,Our Place,fromourplace.com
Retail,Magic Spoon,magicspoon.com
Retail,Cazoo,cazoo.co.uk
Retail,Camp,camp.com
Retail,Superplastic,superplastic.co
Retail,Snackpass,snackpass.co
Retail,Zepto,zeptonow.com
Banking,Rho,rho.co
Banking,Baselane,baselane.com
Banking,Found,found.com
Banking,First Boulevard,firstboulevard.com
Banking,Nearside,nearside.com
Banking,Finom,finom.com
Banking,Neo Financial,neofinancial.com
Banking,Relay Financial,relayfi.com
Banking,Up Bank,up.com.au
Banking,Winden,winden.app
Hosting,Convesio,convesio.com
Hosting,HostiFi,hostifi.com
Hosting,Cloudzy,cloudzy.com
Hosting,Netbora,netbora.com
Hosting,Aeza,aeza.net
Hosting,Latitude.sh,latitude.sh
Hosting,Hydra Host,hydrahost.com
Hosting,OpenMetal,openmetal.io
Hosting,Atlas Cloud,atlascloud.ai
Hosting,Replit,replit.com
Hosting,1of1 Hosting,1of1servers.com
Adult,OnlyFans,onlyfans.com
Adult,Fansly,fansly.com
Adult,AdmireMe.VIP,admireme.vip
Adult,Fanvue,fanvue.com
Adult,Unlockd,unlockd.me
Adult,iFans,ifans.com
Adult,Okfans,okfans.com
Online Gaming - Infra,Vibe Games,vibegames.com
Online Gaming - Infra,Infraly,infraly.co
Online Gaming - Infra,Epic Games,epicgames.com
Online Gaming - Infra,Nitrado,nitrado.net
Online Gaming - Operator,Stake,stake.com
Online Gaming - Operator,Rollbit,rollbit.com
Online Gaming - Operator,Roobet,roobet.com
Online Gaming - Operator,Wintomato,wintomato.com
Online Gaming - Operator,Shuffle,shuffle.com
Online Gaming - Operator,PrizePicks,prizepicks.com
Online Gaming - Operator,Underdog Fantasy,underdogfantasy.com
Online Gaming - Operator,Sleeper,sleeper.com
Online Gaming - Operator,Kalshi,kalshi.com
Betting,Polymarket,polymarket.com
